Time(UTC),Symbol,Funding Rate
2022-12-31 08:00:00+00:00,BTCUSD,0.0001
2022-12-31 00:00:00+00:00,BTCUSD,0.0001
2022-12-30 16:00:00+00:00,BTCUSD,0.0001
2022-12-30 08:00:00+00:00,BTCUSD,8.313e-05
2022-12-30 00:00:00+00:00,BTCUSD,9.597e-05
2022-12-29 16:00:00+00:00,BTCUSD,0.0001
2022-12-29 08:00:00+00:00,BTCUSD,0.0001
2022-12-29 00:00:00+00:00,BTCUSD,0.0001
2022-12-28 16:00:00+00:00,BTCUSD,0.0001
2022-12-28 08:00:00+00:00,BTCUSD,0.0001
2022-12-28 00:00:00+00:00,BTCUSD,0.0001
2022-12-27 16:00:00+00:00,BTCUSD,0.0001
2022-12-27 08:00:00+00:00,BTCUSD,0.0001
2022-12-27 00:00:00+00:00,BTCUSD,0.0001
2022-12-26 16:00:00+00:00,BTCUSD,0.0001
2022-12-26 08:00:00+00:00,BTCUSD,0.0001
2022-12-26 00:00:00+00:00,BTCUSD,0.0001
2022-12-25 16:00:00+00:00,BTCUSD,0.0001
2022-12-25 08:00:00+00:00,BTCUSD,0.0001
2022-12-25 00:00:00+00:00,BTCUSD,5.42e-05
2022-12-24 16:00:00+00:00,BTCUSD,0.0001
2022-12-24 08:00:00+00:00,BTCUSD,0.0001
2022-12-24 00:00:00+00:00,BTCUSD,0.0001
2022-12-23 16:00:00+00:00,BTCUSD,0.0001
2022-12-23 08:00:00+00:00,BTCUSD,0.0001
2022-12-23 00:00:00+00:00,BTCUSD,0.0001
2022-12-22 16:00:00+00:00,BTCUSD,0.0001
2022-12-22 08:00:00+00:00,BTCUSD,4.12e-06
2022-12-22 00:00:00+00:00,BTCUSD,0.0001
2022-12-21 16:00:00+00:00,BTCUSD,7.543e-05
2022-12-21 08:00:00+00:00,BTCUSD,0.0001
2022-12-21 00:00:00+00:00,BTCUSD,1.477e-05
2022-12-20 16:00:00+00:00,BTCUSD,7.18e-06
2022-12-20 08:00:00+00:00,BTCUSD,0.0001
2022-12-20 00:00:00+00:00,BTCUSD,0.0001
2022-12-19 16:00:00+00:00,BTCUSD,-4.69e-05
2022-12-19 08:00:00+00:00,BTCUSD,-0.00036058
2022-12-19 00:00:00+00:00,BTCUSD,-0.00018079
2022-12-18 16:00:00+00:00,BTCUSD,-0.00047373
2022-12-18 08:00:00+00:00,BTCUSD,-9.184e-05
2022-12-18 00:00:00+00:00,BTCUSD,-8.945e-05
2022-12-17 16:00:00+00:00,BTCUSD,-3.155e-05
2022-12-17 08:00:00+00:00,BTCUSD,-0.00023721
2022-12-17 00:00:00+00:00,BTCUSD,0.0001
2022-12-16 16:00:00+00:00,BTCUSD,-0.00014249
2022-12-16 08:00:00+00:00,BTCUSD,-0.00011752
2022-12-16 00:00:00+00:00,BTCUSD,0.0001
2022-12-15 16:00:00+00:00,BTCUSD,0.0001
2022-12-15 08:00:00+00:00,BTCUSD,0.0001
2022-12-15 00:00:00+00:00,BTCUSD,-0.00011329
2022-12-14 16:00:00+00:00,BTCUSD,-5.199e-05
2022-12-14 08:00:00+00:00,BTCUSD,0.0001
2022-12-14 00:00:00+00:00,BTCUSD,0.0001
2022-12-13 16:00:00+00:00,BTCUSD,3.219e-05
2022-12-13 08:00:00+00:00,BTCUSD,-0.00035916
2022-12-13 00:00:00+00:00,BTCUSD,-4.667e-05
2022-12-12 16:00:00+00:00,BTCUSD,5.046e-05
2022-12-12 08:00:00+00:00,BTCUSD,-0.00015853
2022-12-12 00:00:00+00:00,BTCUSD,-3.548e-05
2022-12-11 16:00:00+00:00,BTCUSD,-8.859e-05
2022-12-11 08:00:00+00:00,BTCUSD,-0.00032829
2022-12-11 00:00:00+00:00,BTCUSD,-0.00059595
2022-12-10 16:00:00+00:00,BTCUSD,-0.00010476
2022-12-10 08:00:00+00:00,BTCUSD,0.0001
2022-12-10 00:00:00+00:00,BTCUSD,0.0001
2022-12-09 16:00:00+00:00,BTCUSD,-0.00022237
2022-12-09 08:00:00+00:00,BTCUSD,-0.00010993
2022-12-09 00:00:00+00:00,BTCUSD,-5.693e-05
2022-12-08 16:00:00+00:00,BTCUSD,5.524e-05
2022-12-08 08:00:00+00:00,BTCUSD,-7.93e-06
2022-12-08 00:00:00+00:00,BTCUSD,0.0001
2022-12-07 16:00:00+00:00,BTCUSD,0.0001
2022-12-07 08:00:00+00:00,BTCUSD,6.895e-05
2022-12-07 00:00:00+00:00,BTCUSD,0.0001
2022-12-06 16:00:00+00:00,BTCUSD,0.0001
2022-12-06 08:00:00+00:00,BTCUSD,0.0001
2022-12-06 00:00:00+00:00,BTCUSD,7.07e-06
2022-12-05 16:00:00+00:00,BTCUSD,-0.00039666
2022-12-05 08:00:00+00:00,BTCUSD,-0.00014853
2022-12-05 00:00:00+00:00,BTCUSD,-0.00024651
2022-12-04 16:00:00+00:00,BTCUSD,-0.00024606
2022-12-04 08:00:00+00:00,BTCUSD,0.0001
2022-12-04 00:00:00+00:00,BTCUSD,-7.466e-05
2022-12-03 16:00:00+00:00,BTCUSD,0.0001
2022-12-03 08:00:00+00:00,BTCUSD,0.0001
2022-12-03 00:00:00+00:00,BTCUSD,0.0001
2022-12-02 16:00:00+00:00,BTCUSD,-0.00014784
2022-12-02 08:00:00+00:00,BTCUSD,-0.00024179
2022-12-02 00:00:00+00:00,BTCUSD,0.0001
2022-12-01 16:00:00+00:00,BTCUSD,0.0001
2022-12-01 08:00:00+00:00,BTCUSD,-0.00022635
2022-12-01 00:00:00+00:00,BTCUSD,-0.00012348
2022-11-30 16:00:00+00:00,BTCUSD,-5.597e-05
2022-11-30 08:00:00+00:00,BTCUSD,0.0001
2022-11-30 00:00:00+00:00,BTCUSD,-0.00034131
2022-11-29 16:00:00+00:00,BTCUSD,-0.00043393
2022-11-29 08:00:00+00:00,BTCUSD,0.0001
2022-11-29 00:00:00+00:00,BTCUSD,0.0001
2022-11-28 16:00:00+00:00,BTCUSD,0.0001
2022-11-28 08:00:00+00:00,BTCUSD,-0.00022094
2022-11-28 00:00:00+00:00,BTCUSD,0.0001
2022-11-27 16:00:00+00:00,BTCUSD,0.0001
2022-11-27 08:00:00+00:00,BTCUSD,0.0001
2022-11-27 00:00:00+00:00,BTCUSD,-0.00019347
2022-11-26 16:00:00+00:00,BTCUSD,-0.00040084
2022-11-26 08:00:00+00:00,BTCUSD,-0.000455
2022-11-26 00:00:00+00:00,BTCUSD,-0.00014601
2022-11-25 16:00:00+00:00,BTCUSD,-3.986e-05
2022-11-25 08:00:00+00:00,BTCUSD,0.0001
2022-11-25 00:00:00+00:00,BTCUSD,5.282e-05
2022-11-24 16:00:00+00:00,BTCUSD,0.0001
2022-11-24 08:00:00+00:00,BTCUSD,-0.00029415
2022-11-24 00:00:00+00:00,BTCUSD,0.0001
2022-11-23 16:00:00+00:00,BTCUSD,-0.00036476
2022-11-23 08:00:00+00:00,BTCUSD,-0.00030179
2022-11-23 00:00:00+00:00,BTCUSD,-0.00026595
2022-11-22 16:00:00+00:00,BTCUSD,0.0001
2022-11-22 08:00:00+00:00,BTCUSD,3.339e-05
2022-11-22 00:00:00+00:00,BTCUSD,-0.00017262
2022-11-21 16:00:00+00:00,BTCUSD,4.646e-05
2022-11-21 08:00:00+00:00,BTCUSD,0.0001
2022-11-21 00:00:00+00:00,BTCUSD,0.0001
2022-11-20 16:00:00+00:00,BTCUSD,0.0001
2022-11-20 08:00:00+00:00,BTCUSD,6.229e-05
2022-11-20 00:00:00+00:00,BTCUSD,-0.00012898
2022-11-19 16:00:00+00:00,BTCUSD,0.0001
2022-11-19 08:00:00+00:00,BTCUSD,0.0001
2022-11-19 00:00:00+00:00,BTCUSD,0.0001
